Order_ID,Date,Customer_ID,Product_ID,Channel,Quantity,Unit_Price,Total_Sales,Customer_Name,Gender,Age,City,Loyalty_Status,Product_Name,Category,Brand,Price,Supplier,Month,Year,Day
O000001,2025-08-17,C00324,P0023,Online,4,6427,25708,Marissa Parks,Male,42,Bangalore,Silver,Every Clothin,Clothing,Adidas,6427,Garcia-Reed,8,2025,Sunday
O000002,2025-02-22,C00414,P0128,Marketplace,1,4533,4533,Chad Rodriguez,Male,30,Chennai,Platinum,Watch Electronic,Electronics,Samsung,4533,"Cook, Butler and Jefferson",2,2025,Saturday
O000003,2025-10-09,C00001,P0010,Online,5,11638,58190,Logan Terry,Female,60,Chennai,Platinum,Son Electronic,Electronics,Samsung,11638,Cisneros and Sons,10,2025,Thursday
O000004,2025-11-23,C00312,P0155,Store,5,6467,32335,Ashley Stephenson,Female,46,Chennai,Silver,Heavy Clothin,Clothing,Adidas,6467,Holden-Quinn,11,2025,Sunday
O000005,2026-05-02,C00350,P0168,Mobile App,4,6511,26044,Matthew Robinson,Male,19,Delhi,Platinum,Deal Beaut,Beauty,Adidas,6511,"Leblanc, Kim and Oconnor",5,2026,Saturday
O000006,2026-03-09,C00466,P0014,Mobile App,2,6081,12162,Laura Holland,Male,57,Hyderabad,Gold,Far Hom,Home,Adidas,6081,"Russell, Smith and Rosario",3,2026,Monday
O000007,2025-11-04,C00485,P0144,Mobile App,5,7241,36205,Austin Harris,Male,31,Hyderabad,Platinum,Move Beaut,Beauty,Samsung,7241,"Garcia, Baker and Garcia",11,2025,Tuesday
O000008,2025-02-28,C00100,P0184,Store,4,11269,45076,David Jordan,Female,60,Kolkata,Silver,Support Hom,Home,Zara,11269,"Crawford, Rich and Ballard",2,2025,Friday
O000009,2025-07-01,C00850,P0001,Mobile App,3,609,1827,Randy Reid,Female,27,Kolkata,Gold,Majority Sport,Sports,Adidas,609,Paul PLC,7,2025,Tuesday
O000010,2025-07-11,C00719,P0141,Online,5,1432,7160,Rachel Porter,Female,41,Chennai,Platinum,Today Electronic,Electronics,Adidas,1432,Peterson-Lopez,7,2025,Friday
O000011,2025-09-10,C00144,P0012,Marketplace,2,12709,25418,Scott Carlson,Female,57,Hyderabad,Silver,Increase Clothin,Clothing,Apple,12709,Ramirez-Watts,9,2025,Wednesday
O000012,2025-11-09,C00201,P0028,Store,3,8951,26853,Michael Vargas,Female,59,Kolkata,Silver,Everyone Sport,Sports,Samsung,8951,"Riggs, Gibson and Rhodes",11,2025,Sunday
O000013,2025-04-21,C00469,P0031,Store,4,11416,45664,Whitney Phillips,Male,48,Mumbai,Silver,Magazine Sport,Sports,Apple,11416,Perez-Osborne,4,2025,Monday
O000014,2025-02-25,C00776,P0184,Marketplace,3,11269,33807,Christopher Price,Male,37,Hyderabad,Platinum,Support Hom,Home,Zara,11269,"Crawford, Rich and Ballard",2,2025,Tuesday
O000015,2025-03-05,C00791,P0012,Marketplace,5,12709,63545,Kelly Williams,Male,29,Mumbai,Gold,Increase Clothin,Clothing,Apple,12709,Ramirez-Watts,3,2025,Wednesday
O000016,2026-05-05,C00517,P0118,Store,5,7691,38455,Richard Dougherty,Female,51,Mumbai,Platinum,Suggest Sport,Sports,Sony,7691,"Hooper, Cole and Tucker",5,2026,Tuesday
O000017,2025-09-29,C00754,P0128,Online,1,4533,4533,David Rojas,Female,54,Mumbai,Platinum,Watch Electronic,Electronics,Samsung,4533,"Cook, Butler and Jefferson",9,2025,Monday
O000018,2026-03-06,C00600,P0142,Marketplace,4,9138,36552,Courtney Camacho,Female,59,Chennai,Silver,Take Sport,Sports,Samsung,9138,Marshall-Marquez,3,2026,Friday
O000019,2025-12-21,C00593,P0131,Store,2,11957,23914,Gabrielle Campbell,Male,28,Bangalore,Gold,Involve Footwea,Footwear,Apple,11957,Cannon PLC,12,2025,Sunday
O000020,2025-02-23,C00397,P0188,Mobile App,2,1730,3460,Jennifer Guerra,Female,57,Bangalore,Silver,Free Sport,Sports,Puma,1730,Webb Group,2,2025,Sunday
O000021,2025-08-03,C00624,P0130,Store,4,4662,18648,Tommy Taylor,Male,27,Mumbai,Gold,Build Beaut,Beauty,Samsung,4662,Berry and Sons,8,2025,Sunday
O000022,2026-05-09,C00352,P0071,Mobile App,4,11204,44816,Mary Raymond,Male,59,Mumbai,Gold,Certain Footwea,Footwear,H&M,11204,Cooper-Ramos,5,2026,Saturday
O000023,2025-03-12,C00423,P0116,Mobile App,2,4110,8220,Jessica Rollins,Male,44,Chennai,Gold,Coach Clothin,Clothing,Puma,4110,"Rojas, Mason and Martinez",3,2025,Wednesday
O000024,2026-03-17,C00322,P0180,Store,5,6853,34265,Michael Martinez,Female,29,Hyderabad,Platinum,Worker Beaut,Beauty,Sony,6853,Monroe Group,3,2026,Tuesday
O000025,2025-11-16,C00732,P0052,Mobile App,2,2027,4054,Shawn Stewart,Male,37,Hyderabad,Platinum,Series Sport,Sports,Puma,2027,"Wells, Campbell and Morgan",11,2025,Sunday
O000026,2026-04-17,C00689,P0176,Store,3,9283,27849,Audrey Conway,Male,26,Hyderabad,Gold,Clearly Hom,Home,Sony,9283,Dunn-Callahan,4,2026,Friday
O000027,2025-09-15,C00556,P0182,Mobile App,2,7243,14486,Robert Pacheco,Female,40,Mumbai,Gold,Style Footwea,Footwear,Apple,7243,Winters-Reid,9,2025,Monday
O000028,2026-01-25,C00361,P0182,Marketplace,1,7243,7243,Julie Atkinson,Female,30,Kolkata,Silver,Style Footwea,Footwear,Apple,7243,Winters-Reid,1,2026,Sunday
O000029,2026-04-28,C00684,P0150,Marketplace,5,4078,20390,Leslie Smith,Female,38,Mumbai,Gold,Believe Sport,Sports,Samsung,4078,Smith-Richmond,4,2026,Tuesday
O000030,2025-05-27,C00899,P0173,Marketplace,5,11068,55340,Kim Gibson,Female,29,Bangalore,Platinum,Plan Footwea,Footwear,Puma,11068,"Medina, Brown and Cervantes",5,2025,Tuesday
O000031,2025-02-24,C00026,P0004,Marketplace,5,9874,49370,Jessica Wilson,Female,19,Hyderabad,Platinum,Entire Electronic,Electronics,Adidas,9874,Wall-Peters,2,2025,Monday
